# Stage-1 fork-fix shortlist — 252 rows (2026-08-14)
#
# GENERATED, then hand-filtered. Reproduce with:
#   scripts/fork-triage.sh e97087b main | grep -iE 'fix|bug|crash|correct|revert'
# (the script enumerates every commit in the e97087b...main compare; the grep is what cuts it to
# these 252). Columns, tab-separated: short sha, PR number (blank if the subject carries none),
# commit subject. Classification of these rows lives in fork-fix-ledger-2026-08.md; 35 are
# classified there and 217 remain deferred.
68d7bd066	533	Fix heap corruption in wmWorldMap_load when save file has more cities than current config (#533)
69a27fcdb		fix _obj_save_dude savedRotation usage
6a0bed443	336	Death Anim script hook + fall anim fix + related refactoring (#336)
6c0155190	675	Fix a variety of decompilation errors (#675)
6c13d6792		Update inventory.cc to fix button click sounds for 'Move Items'
6cbe68aef	390	Fix setup (play) instructions, and add basic compile instructions to CONTRIBUTING.md (#390)
6efbe795d		Decyphering in and around proto_instance + fix build
6f0f68d5a	366	Fix crash when using op_pickup with global scripts (#366)
6f240acf0		Fix typo
6fa5667b5		few review fixes
721e40f78		Merge branch 'main' into inventory-character-display-fix
7224c7d7f		Button Fix for Loadsave.cc
72da5eb87	308	Merge pull request #308 from fallout2-ce/fix/tile-from-screen-xy-signature
7338c2f42		Fix pipboy messages memory leak
74c212560		Fix env
74eb64b59		Disable debug checks
75dbc9832		Add debug: true
7604061e1	573	Fix script use-after-free when scripts remove themselves (#573)
763169f33		Merge branch 'main' into add_cities_limit_fix
767ae9af2		Fixed crash when running out of ammo before clip is full.
76f3d8267		Clang-format fixes
772d8cd1d	640	Fix the cursor getting stuck in view scrolling mode for encounters (#640)
787fa1b1b		Show labels for debug
7957246c7		Fix artifacts
795ef54d7		fix formatting
7960b3cb6		Add platform/architecture suffix to executables
7a08f2e03		-Wswitch fixes
7c7cb87f6	238	Merge pull request #238 from fallout2-ce/fix_memory_overlap_with_sound
7d093030e		Fix find filtering
823858f27		mapper: fix selected object being deleted when opening map
833b6d821		Fix formatting using this command:
84336d465		Fix warning
86787e2c9		correct SSL function names in comments
8714d418a		Clang format fixes
88fd96201		char to int conversion operator fix
89b681271		Typo fix
8ad2cb7e2		Revert "Fix dependency"
8eae8a4cb	8	Merge pull request #8 from roginvs/fallout2_ce_fix_formatting
9097c2e76		Add commit hash to fix web builds until web ui is fixed
92383353b		reverted the CharacterSoundEffect usage in sfxBuildCharName
926efeb0c	16	Fix for workflow file #16
92cc37560	359	Fix `list_as_array(LIST_CRITTERS)` returning objects with pid=-1 (#359)
942d88476		Update inventory.cc to fix button click sounds for 'Move Items'
950c12dbf	245	Merge pull request #245 from fallout2-ce/fix_indexes_in_file_list_init
959d40dc0		y0lo PR fixes
95c07dba9	482	Fix compile warnings (#482)
9711e61f8		fixes heap-use-after-free in objectUseItemOnInternal when object is destoryed by the script (fixing K9 and attaching pole in Mariposa cart)
98cf43438	9	Merge pull request #9 from roginvs/fix_targeted_attack_on_non_critter
9974a23c1	243	Merge pull request #243 from fallout2-ce/fix-deployments-cleanup
9a3ec752d		Fix typo
9a84b67ed		comment typo fix
9b6fbeecb	42	Merge pull request #42 from roginvs/fallout2-ce-main-fix-ci-release
9b96e3118	17	Workflow permissions fix #17
9bfc3e83c		Add fix_formatting script
9c19d212a	500	Fix blue/green channel mixup in PCX reading (#500)
9d6134367	14	Merge pull request #14 from roginvs/pvs_studio_fixes
9e3ce4cd8		Fix stats test
a0a597725		Fix extensions scan
a0a6091bd		add package dependency fix
a24e0630d		Fix wrong variable usage in character_editor
a259a3318	114	Merge pull request #114 from fallout2-ce/fix-skill-oob-access
a380a3c9e	525	Merge pull request #525 from fallout2-ce/stackable_empty_weapons_fix
a406c5f01		CI fixes
a478e24c8	279	Merge pull request #279 from fallout2-ce/context-menu-fix
a4f9d7b94		Use env variables for debug info
a59bfdb64		Fix debug print message
a5de35884		Fix missing lib for 64bit windows
a697f0b86	372	Fix garbled splash screen when `SkipOpeningMovies=1` (#372)
a7de22897	426	frm2png fix unable to convert most FRM's (#426)
a852e88bf		Clang format fix
a88ca9f7e	201	Fix build warnings introduced by sfall opcodes/metarules (#201)
aa7bda09d		Update game_dialog.cc to fix Combat Control buttons/sounds
aac42c162	561	Fix refresh after elevator transition (#561)
ab841916f		Dam usage fixes
acc52383e		emscripten: add CASE_INSENSITIVE_FS, move source map generation to debug mode
ade8c90f5		revert validation as the game doesn't start anymore
b14f51871	339	Comment out hires_stencil debug logs (#339)
b27b0f03f	329	Fix `get_ini_setting` (#329)
b2efcffec		Fix to eliminate Clang warnings on old merged PRs
b6384ce8e		Merge remote-tracking branch 'roginvs/add_cities_limit_fix' into add_cities_limit_fix_fallout2-ce
b71f1e7d1	313	Merge pull request #313 from NovaRain/wmenc_table_fix
b7933f6b8	159	Merge pull request #159 from fallout2-ce/inventory-character-display-fix
b7f2b32b9	321	Debug window size setting, start debug output earlier and log number of loaded mods (#321)
b8988b69a	569	combatAi: heap fragmentation fix, free previously initialized lists before init (#569)
b93591f5d		EDG: fix incorrect image corruption when scroll limiting kicks in right at the edge border
b97c9864a	347	Fix global script loading on non-Windows (#347)
bb839cd6c		some fixes & improvements
bc47279a9		Do changes in correct branch instead of wondering why it does not work
bd4cadaa5	679	Fix under-clearing inventory screen (#679)
beb3c537a	316	Fix several compile warnings (#316)
bf1d35b2d	513	Fix possible double-free in animation_free (#513)
bfcfaa954	267	Fix negative ammo for Mega Power Fist (#267)
c02c5efcf	581	Don't crash on long config file lengths (#581)
c240657d0	335	Fix two metarule argument popping order errors (#335)
c33789cd6		copilot review fixes
c574812f1	471	EDG: fix getIsoWindowSize returning (1, 1) in release builds (#471)
c663d79b9		fix bug(?)
c6818f084	497	Fix ddraw.ini -> game.cfg migration on unix-y systems (#497)
c7a25f1dc	652	Fix many locations with possible read of uninitialized variables. (#652)
c91057ec1		Use EM_ASYNC_JS correctly
c95f91c2f	476	Fix returnval of critter_mod_skill (#476)
ca72573c1		Merge branch 'main' into fix_gMapGlobalPointers_resize
ca89abad6	596	[Et tu] Fix TMA (Tell me about) (#596)
cb6a8ad7c	614	Revert weight indicator to green, and add old option (#614)
cc7d9ed86		Revert "Use messages from pipboy"
cedfe1f57		fix warning overlooked -Wswitch warning for AnimationType
ceecc3ebd	552	Two crash fixes (#552)
d029bf3cd		Revert rsync step
